simulation_id,candidate_id,source_manifest,source_path,source_experiment,source,source_class,source_pool,sampling_method,seed,observation_independent,observed_directed,observed_directed_evidence,parameterization,parameter_dim,parameter_vector_available,parameter_vector_hash,parameter_vector_hash_computed,parameter_vector_path,feature_root,qsim_path,qsim_available,qsim_period,qsim_rows,qsim_sha256,objective_available,status,physical_swat_run,validation_or_final_data_touched,development_only,validation_touched,final_test_touched,contains_locked_validation,contains_final_test,paper_contamination,usable_for_A1_A2,usable_for_A1,usable_for_A2,study_area,swat_revision,record_kind,notes
DEEPCAL100-ANCHOR-BASELINE,DEEPCAL100-ANCHOR-BASELINE,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,fixed_anchor,unknown,unknown,fixed_anchor,,NO,YES,fixed anchor; not a sampling claim,current_14d,14,YES,e1c04be9ee65d502df833431ed25f0ea7f52eaed78da1240c6001a50b5d59e44,e1c04be9ee65d502df833431ed25f0ea7f52eaed78da1240c6001a50b5d59e44,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-BASELINE\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-BASELINE,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-BASELINE\development_q.csv,YES,2003-01-01/2016-12-31,5114,152995eae3627418f286472e91acfb222eafe2a3148028f1b449b7cda8d4c24a,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,fixed anchor retained for equivalence/reference only
DEEPCAL100-ANCHOR-B0,DEEPCAL100-ANCHOR-B0,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,fixed_anchor,unknown,unknown,fixed_anchor,,NO,YES,fixed anchor; not a sampling claim,current_14d,14,YES,4d31840a645b06e4a497ad1ee1a1371db76926631ef581fd7242dbe941effdb9,4d31840a645b06e4a497ad1ee1a1371db76926631ef581fd7242dbe941effdb9,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-B0\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-B0,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-B0\development_q.csv,YES,2003-01-01/2016-12-31,5114,2d6f4990e9004d5e306ac21f4556ed1b04df6c7109e81cab1f7854c324f55e49,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,fixed anchor retained for equivalence/reference only
DEEPCAL100-ANCHOR-WBEST,DEEPCAL100-ANCHOR-WBEST,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,fixed_anchor,unknown,unknown,fixed_anchor,,NO,YES,fixed anchor; not a sampling claim,current_14d,14,YES,452049c7e26d5b355ca882df81a171fed3c3bc810e9b1e06b5e51d96fdfb1739,452049c7e26d5b355ca882df81a171fed3c3bc810e9b1e06b5e51d96fdfb1739,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-WBEST\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-WBEST,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-ANCHOR-WBEST\development_q.csv,YES,2003-01-01/2016-12-31,5114,1c099c897c316d512dc26e8e0d8332544336a6365a246debbba44dd4e3d16154,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,fixed anchor retained for equivalence/reference only
archive-index:000001:engine_final3,engine_final3,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\13_baseline_run\engine_final3\TxtInOut,Baseline Real-SWAT,Baseline Real-SWAT,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=Baseline Real-SWAT,heterogeneous_archive_unknown_dim,0,NO,,,,D:\SWAT+_3V3\A_SouthBranchPotomac\13_baseline_run\engine_final3\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000002:04_corrected_baseline_run,04_corrected_baseline_run,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\15_corrected_01605500\04_corrected_baseline_run\TxtInOut,Baseline Real-SWAT,Baseline Real-SWAT,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=Baseline Real-SWAT,heterogeneous_archive_unknown_dim,0,NO,,,,D:\SWAT+_3V3\A_SouthBranchPotomac\15_corrected_01605500\04_corrected_baseline_run\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000003:02_TxtInOut,02_TxtInOut,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\16_aquifer_architecture\03_preserved_weather_baseline\02_TxtInOut,Other A-basin Real-SWAT asset,Other A-basin Real-SWAT asset,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=Other A-basin Real-SWAT asset,heterogeneous_archive_unknown_dim,0,NO,,,,D:\SWAT+_3V3\A_SouthBranchPotomac\16_aquifer_architecture\03_preserved_weather_baseline\02_TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,unclassified archive record
archive-index:000018:final1_reference_champion,final1_reference_champion,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\canonical_weather_baseline\final1_reference_champion\TxtInOut,Canonical baseline,Canonical baseline,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=Canonical baseline,heterogeneous_archive_unknown_dim,0,NO,f838baf0eb27fd45395e6504865bfb1535e07e5876bb9beb632b5d6ed676d1eb,,,D:\SWAT+_3V3\A_SouthBranchPotomac\canonical_weather_baseline\final1_reference_champion\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000019:final1_reproduction_attempt_failed,final1_reproduction_attempt_failed,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\canonical_weather_baseline\final1_reproduction_attempt_failed\TxtInOut,Canonical baseline,Canonical baseline,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=Canonical baseline,heterogeneous_archive_unknown_dim,0,NO,f838baf0eb27fd45395e6504865bfb1535e07e5876bb9beb632b5d6ed676d1eb,,,D:\SWAT+_3V3\A_SouthBranchPotomac\canonical_weather_baseline\final1_reproduction_attempt_failed\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000020:canonical_weather_baseline,canonical_weather_baseline,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\canonical_weather_baseline\TxtInOut,Canonical baseline,Canonical baseline,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=Canonical baseline,heterogeneous_archive_unknown_dim,0,NO,,,,D:\SWAT+_3V3\A_SouthBranchPotomac\canonical_weather_baseline\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000021:SMOKE_MULTI_1,SMOKE_MULTI_1,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\_smoke\real_multi_worker\SMOKE_MULTI_1\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,dbee56ad4fb43921247641b7275d2fcbf40e8e2a206ff2226299ed5d9976a250,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\_smoke\real_multi_worker\SMOKE_MULTI_1\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
